"","franchise","league","division","year","attendance","runs.scored","runs.allowed","wins","losses","games.behind"
"1","BAL","AL","EAST",69,1062069,779,517,109,53,0
"2","BOS","AL","EAST",69,1833246,743,736,87,75,22
"3","CLE","AL","EAST",69,619970,573,717,62,99,46.5
"4","DET","AL","EAST",69,1577481,701,601,90,72,19
"5","NYA","AL","EAST",69,1067996,562,587,80,81,28.5
"6","WAS","AL","EAST",69,918106,694,644,86,76,23
"7","CAL","AL","WEST",69,758388,528,652,71,91,26
"8","CHIA","AL","WEST",69,589546,625,723,68,94,29
"9","KC","AL","WEST",69,902414,586,688,69,93,28
"10","MIN","AL","WEST",69,1349328,790,618,97,65,0
"11","OAK","AL","WEST",69,778232,740,678,88,74,9
"12","SEA","AL","WEST",69,677944,639,799,64,98,33
"13","CHIN","NL","EAST",69,1674993,720,611,92,70,8
"14","MON","NL","EAST",69,1212608,582,791,52,110,48
"15","NYN","NL","EAST",69,2175373,632,541,100,62,0
"16","PHI","NL","EAST",69,519414,645,745,63,99,37
"17","PIT","NL","EAST",69,769369,725,652,88,74,12
"18","STL","NL","EAST",69,1682783,595,540,87,75,13
"19","ATL","NL","WEST",69,1458320,691,631,93,69,0
"20","CIN","NL","WEST",69,987991,798,768,89,73,4
"21","HOU","NL","WEST",69,1442995,676,668,81,81,12
"22","LA","NL","WEST",69,1784527,645,561,85,77,8
"23","SD","NL","WEST",69,512970,468,746,52,110,41
"24","SF","NL","WEST",69,873603,713,636,90,72,3
"25","BAL","AL","EAST",70,1057069,792,574,108,54,0
"26","BOS","AL","EAST",70,1595278,786,722,87,75,21
"27","CLE","AL","EAST",70,729752,649,675,76,86,32
"28","DET","AL","EAST",70,1501293,666,731,79,83,29
"29","MILA","AL","EAST",70,933690,613,751,65,97,33
"30","NYA","AL","EAST",70,1136879,680,612,93,69,15
"31","WAS","AL","EAST",70,824789,626,689,70,92,38
"32","CAL","AL","WEST",70,1077741,631,630,86,76,12
"33","CHIA","AL","WEST",70,495355,633,822,56,106,42
"34","KC","AL","WEST",70,693047,611,705,65,97,33
"35","MIN","AL","WEST",70,1261887,744,605,98,64,0
"36","OAK","AL","WEST",70,778355,678,593,89,73,9
"37","CHIN","NL","EAST",70,1642705,806,679,84,78,5
"38","MON","NL","EAST",70,1424683,687,807,73,89,16
"39","NYN","NL","EAST",70,2697479,695,630,83,79,6
"40","PHI","NL","EAST",70,708247,594,730,73,88,15.5
"41","PIT","NL","EAST",70,1341947,729,664,89,73,0
"42","STL","NL","EAST",70,1629736,744,747,76,86,13
"43","ATL","NL","WEST",70,1078848,736,772,76,86,26
"44","CIN","NL","WEST",70,1803568,775,681,102,60,0
"45","HOU","NL","WEST",70,1253444,744,763,79,83,23
"46","LA","NL","WEST",70,1697142,749,684,87,74,14.5
"47","SD","NL","WEST",70,643679,681,788,63,99,39
"48","SF","NL","WEST",70,740720,831,826,86,76,16
"49","BAL","AL","EAST",71,1023037,742,530,101,57,0
"50","BOS","AL","EAST",71,1678732,691,667,85,77,18
"51","CLE","AL","EAST",71,591361,543,747,60,102,43
"52","DET","AL","EAST",71,1591073,701,645,91,71,12
"53","MILA","AL","EAST",71,731531,534,609,69,92,32
"54","NYA","AL","EAST",71,1070771,648,641,82,80,21
"55","WAS","AL","EAST",71,655156,537,660,63,96,38.5
"56","CAL","AL","WEST",71,926373,511,576,76,86,25.5
"57","CHIA","AL","WEST",71,833891,617,597,79,83,22.5
"58","KC","AL","WEST",71,910784,603,566,85,76,16
"59","MIN","AL","WEST",71,940858,654,670,74,86,26.5
"60","OAK","AL","WEST",71,914993,691,564,101,60,0
"61","CHIN","NL","EAST",71,1653007,637,648,83,79,14
"62","MON","NL","EAST",71,1290963,622,729,71,90,25.5
"63","NYN","NL","EAST",71,2266680,588,550,83,79,14
"64","PHI","NL","EAST",71,1511223,558,688,67,95,30
"65","PIT","NL","EAST",71,1501132,788,599,97,65,0
