MONTH,LENGTH,AFD,LNLENGTH,LNAFD
11,28.38,0.248,3.346,-1.394
11,16.57,0.052,2.808,-2.955
11,13.69,0.028,2.617,-3.572
11,17.44,0.07,2.859,-2.655
11,11.83,0.022,2.471,-3.826
11,28.13,0.187,3.337,-1.679
11,32.58,0.361,3.484,-1.02
11,15.7,0.05,2.754,-3.006
11,18.73,0.087,2.93,-2.444
11,21.52,0.128,3.069,-2.06
11,20.17,0.105,3.004,-2.254
11,16.72,0.054,2.817,-2.928
11,15.99,0.065,2.772,-2.735
11,16.85,0.061,2.824,-2.8
11,21.54,0.118,3.07,-2.138
11,13.06,0.03,2.57,-3.493
11,13.75,0.038,2.621,-3.265
11,16.42,0.058,2.799,-2.846
11,11.08,0.022,2.405,-3.808
11,13.5,0.036,2.603,-3.319
11,12.67,0.016,2.539,-4.154
11,22.56,0.128,3.116,-2.059
12,24.1,0.167,3.182,-1.788
12,24.09,0.134,3.182,-2.012
12,24.01,0.105,3.178,-2.256
12,23.42,0.145,3.154,-1.928
12,23.24,0.148,3.146,-1.913
12,24.11,0.11,3.183,-2.205
12,23.09,0.145,3.139,-1.932
12,23.82,0.15,3.171,-1.898
12,23.31,0.1,3.149,-2.3
12,24.11,0.147,3.183,-1.915
12,21.09,0.081,3.049,-2.519
12,22.53,0.137,3.115,-1.986
12,22.69,0.136,3.122,-1.998
12,22.21,0.097,3.101,-2.338
12,20.65,0.098,3.028,-2.325
12,21.91,0.126,3.087,-2.073
12,20.45,0.098,3.018,-2.325
12,22.66,0.131,3.121,-2.033
12,21.35,0.088,3.061,-2.434
12,22.75,0.135,3.125,-2.005
12,21.82,0.14,3.083,-1.967
12,22.04,0.124,3.093,-2.088
12,21.13,0.11,3.051,-2.206
12,22.24,0.133,3.102,-2.015
12,21.95,0.128,3.089,-2.055
12,22.5,0.127,3.114,-2.063
12,20.51,0.108,3.021,-2.223
12,22.88,0.135,3.13,-2.002
12,22.04,0.139,3.093,-1.974
12,22.17,0.088,3.099,-2.425
12,21.23,0.108,3.055,-2.227
12,19.64,0.102,2.978,-2.284
12,20.55,0.06,3.023,-2.812
12,20.54,0.085,3.022,-2.464
12,21.63,0.116,3.074,-2.158
12,22.3,0.126,3.105,-2.072
12,21.91,0.077,3.087,-2.564
12,22.33,0.129,3.106,-2.046
12,21.82,0.127,3.083,-2.063
12,22.56,0.124,3.116,-2.085
12,20.18,0.092,3.005,-2.386
12,21.28,0.093,3.058,-2.376
12,22.27,0.101,3.103,-2.297
12,19.74,0.079,2.983,-2.543
12,21.69,0.107,3.077,-2.236
12,21.81,0.116,3.082,-2.15
12,22.25,0.117,3.102,-2.15
12,22.04,0.133,3.093,-2.017
12,20.91,0.117,3.04,-2.147
12,20.37,0.113,3.014,-2.185
12,20.37,0.098,3.014,-2.324
12,20.03,0.079,2.997,-2.537
12,21.88,0.084,3.086,-2.475
12,21.9,0.107,3.086,-2.24
12,21.61,0.12,3.073,-2.121
12,20.01,0.103,2.996,-2.273
12,20.02,0.109,2.997,-2.22
12,20.54,0.066,3.022,-2.721
3,11.2,0.012,2.416,-4.39
3,11,0.013,2.398,-4.32
3,10.65,0.014,2.366,-4.29
3,10.3,0.011,2.332,-4.538
3,10.45,0.013,2.347,-4.366
3,9.78,0.009,2.28,-4.722
3,10.53,0.011,2.354,-4.501
3,10.36,0.011,2.338,-4.547
3,9.89,0.01,2.292,-4.595
3,9.57,0.009,2.259,-4.733
3,9.77,0.009,2.279,-4.667
3,10,0.01,2.303,-4.656
3,10.05,0.011,2.308,-4.556
3,9.62,0.009,2.264,-4.733
3,9.9,0.009,2.293,-4.699
3,10.23,0.01,2.325,-4.605
9,16.31,0.039,2.792,-3.244
9,15.56,0.054,2.745,-2.915
9,16.07,0.033,2.777,-3.408
9,16.03,0.052,2.774,-2.962
9,15.78,0.031,2.759,-3.471
9,15.52,0.036,2.742,-3.319
9,15.83,0.032,2.762,-3.445
9,15.86,0.031,2.764,-3.461
9,8.6,0.004,2.152,-5.521
9,8.67,0.006,2.16,-5.051
9,8.68,0.006,2.161,-5.099
9,9.29,0.007,2.229,-4.948
9,8.86,0.007,2.182,-4.948
9,8.93,0.006,2.189,-5.051
9,9.26,0.006,2.226,-5.099
2,17.77,0.065,2.878,-2.727
2,20.93,0.114,3.041,-2.171
2,21.76,0.138,3.08,-1.981
2,17.75,0.062,2.876,-2.781
2,21.55,0.112,3.07,-2.188
2,19.77,0.094,2.984,-2.369
2,20.08,0.099,3,-2.317
2,19.77,0.104,2.984,-2.266
2,20.83,0.116,3.036,-2.158
2,22.7,0.135,3.122,-2.002
2,22.98,0.138,3.135,-1.979
2,19.94,0.098,2.993,-2.328
2,20.76,0.119,3.033,-2.126
2,14.7,0.034,2.688,-3.37
2,22.17,0.153,3.099,-1.877
2,22.36,0.121,3.107,-2.111
2,21.08,0.096,3.048,-2.339
2,17.14,0.053,2.841,-2.941
2,17.44,0.056,2.859,-2.886
2,23.55,0.175,3.159,-1.741
2,23.81,0.161,3.17,-1.824
2,23.76,0.162,3.168,-1.823
2,24.78,0.164,3.21,-1.809
2,18.54,0.097,2.92,-2.336
2,19.13,0.08,2.951,-2.524
2,19.35,0.091,2.963,-2.397
2,18.59,0.068,2.923,-2.687
2,24.06,0.164,3.181,-1.811
2,17.07,0.056,2.837,-2.877
2,19.82,0.089,2.987,-2.414
2,19.57,0.077,2.974,-2.559
2,17.75,0.065,2.876,-2.74
2,18.77,0.078,2.932,-2.556
2,17.93,0.066,2.886,-2.717
2,23.19,0.14,3.144,-1.963
2,16.33,0.047,2.793,-3.055
2,22.82,0.148,3.128,-1.912
2,24.79,0.173,3.21,-1.757
2,22.8,0.147,3.127,-1.917
2,19.09,0.077,2.949,-2.567
2,19.31,0.085,2.961,-2.462
2,18.79,0.072,2.933,-2.626
