CI_stem,N12,No of mistletoes,Stand,ID,DBH,Distance from infected stem,Infected,Max_size of mistletoe,Min distance to mistletoe 120cm in diameter,Min distance to mistletoe 100cm in diameter,Min distance to mistletoe 50cm in diameter,Min distance to mistletoe
5.343254981,36,1,äobes,921,26,0.95371,1,100,0.95371,0.95371,0.95371,0.95371
4.771434657,32,2,äobes,923,27,0.95371,1,120,74.1291,0.95371,0.95371,0.95371
5.856575906,32,0,äobes,920,25,1.16871,0,0,1.21851,1.16871,1.16871,1.16871
5.093323645,39,0,äobes,916,25,3.49124,0,0,4.33151,3.49124,3.49124,3.49124
6.452975629,32,0,äobes,918,24,1.70918,0,0,1.95133,1.70918,1.70918,1.70918
5.59842222,32,0,äobes,917,26,1.98925,0,0,2.47331,1.98925,1.98925,1.98925
5.301988859,32,0,äobes,919,28,2.06753,0,0,2.25396,2.06753,2.06753,2.06753
6.384253622,29,0,äobes,913,20,4.23441,0,0,4.6636,4.23441,4.23441,4.23441
5.626963,28,0,äobes,915,22,4.39647,0,0,5.09355,4.39647,4.39647,4.39647
6.149694409,29,0,äobes,914,20,4.36741,0,0,5.57476,4.36741,4.36741,4.36741
5.571182763,40,0,äobes,908,27,7.92826,0,0,9.12779,7.92826,7.92826,7.92826
5.399342648,40,0,äobes,909,28,8.06679,0,0,9.6124,8.06679,8.06679,8.06679
2.034644208,22,2,äobes,1582,34,1.2441,1,90,11.3076,1.2441,1.2441,1.2441
10.35049583,24,0,äobes,926,10,1.29745,0,0,6.5089,1.29745,1.29745,1.29745
2.826612667,24,4,äobes,928,33,2.93669,1,75,7.38569,2.93669,2.93669,2.93669
3.231799884,24,0,äobes,927,30,0.30136,0,0,7.38595,2.64821,0.30136,0.30136
9.182629223,39,0,äobes,911,14,7.36387,0,0,10.01565,7.36387,7.36387,7.36387
2.317681188,24,1,äobes,925,37,2.93669,1,100,7.10246,7.10246,2.93669,2.93669
1.128624916,7,0,äobes,1596,33,11.14894,0,0,26.28,15.70718,13.08124,11.14894
1.174392056,9,0,äobes,1595,34,10.92629,0,0,26.76,16.17537,13.18195,10.92629
1.049756268,11,0,äobes,1593,29,14.62396,0,0,24.83885,14.62396,14.62396,14.62396
