SpeciesName,Species,Trt,Day,PlNum,LDM (mg),SDM (mg),RDM (mg),TDM (mg),LMF,SMF,RMF,lnTDM
DfH,D. flexuosa,high,0,1,9.8,3.3,6,19.1,0.51,0.17,0.31,2.95
DfH,D. flexuosa,high,0,2,8.9,3.2,5.2,17.3,0.51,0.18,0.3,2.85
DfH,D. flexuosa,high,0,3,6.7,2.3,4.6,13.6,0.49,0.17,0.34,2.61
DfH,D. flexuosa,high,0,4,17.6,5.8,10.3,33.7,0.52,0.17,0.31,3.52
DfH,D. flexuosa,high,0,5,18,5.9,12.2,36.1,0.5,0.16,0.34,3.59
DfH,D. flexuosa,high,0,6,13.1,3.8,7.9,24.8,0.53,0.15,0.32,3.21
DfH,D. flexuosa,high,0,1,10.7,3.5,9.5,23.7,0.45,0.15,0.4,3.17
DfH,D. flexuosa,high,0,2,7.6,2.2,4.4,14.2,0.54,0.15,0.31,2.65
DfH,D. flexuosa,high,0,3,8.7,3.3,4.7,16.7,0.52,0.2,0.28,2.82
DfH,D. flexuosa,high,0,4,8.6,2.6,3.1,14.3,0.6,0.18,0.22,2.66
DfH,D. flexuosa,high,0,5,7,3.3,4.2,14.5,0.48,0.23,0.29,2.67
DfH,D. flexuosa,high,0,6,8.3,3.4,6,17.7,0.47,0.19,0.34,2.87
DfH,D. flexuosa,high,2,1,7.5,3,4.7,15.2,0.49,0.2,0.31,2.72
DfH,D. flexuosa,high,2,2,7.8,2.8,7.3,17.9,0.44,0.16,0.41,2.88
DfH,D. flexuosa,high,2,3,12.9,5.6,13.1,31.6,0.41,0.18,0.41,3.45
DfH,D. flexuosa,high,2,4,19.3,6.9,11.7,37.9,0.51,0.18,0.31,3.63
DfH,D. flexuosa,high,2,5,12.2,4.8,8.8,25.8,0.47,0.19,0.34,3.25
DfH,D. flexuosa,high,2,6,12.3,3.9,7.2,23.4,0.53,0.17,0.31,3.15
DfH,D. flexuosa,high,2,7,10,3.8,6.9,20.7,0.48,0.18,0.33,3.03
DfH,D. flexuosa,high,2,8,14.1,5.5,8.5,28.1,0.5,0.2,0.3,3.34
DfH,D. flexuosa,high,4,1,18.2,5.1,6.9,30.2,0.6,0.17,0.23,3.41
DfH,D. flexuosa,high,4,2,15.3,4.6,9.6,29.5,0.52,0.16,0.33,3.38
DfH,D. flexuosa,high,4,3,27.1,9.9,16.2,53.2,0.51,0.19,0.3,3.97
DfH,D. flexuosa,high,4,4,19.4,7.4,12.4,39.2,0.49,0.19,0.32,3.67
DfH,D. flexuosa,high,4,5,9.7,2.8,6.3,18.8,0.52,0.15,0.34,2.93
DfH,D. flexuosa,high,4,6,11.7,4.2,5.1,21,0.56,0.2,0.24,3.04
DfH,D. flexuosa,high,4,7,16.4,5.3,10,31.7,0.52,0.17,0.32,3.46
DfH,D. flexuosa,high,4,8,18.4,5.2,8.4,32,0.58,0.16,0.26,3.47
DfH,D. flexuosa,high,7,1,22.4,6.1,12.2,40.7,0.55,0.15,0.3,3.71
DfH,D. flexuosa,high,7,2,14.1,5.2,11,30.3,0.47,0.17,0.36,3.41
DfH,D. flexuosa,high,7,3,60.6,28.4,52.4,141.4,0.43,0.2,0.37,4.95
DfH,D. flexuosa,high,7,4,23.9,8,16.4,48.3,0.49,0.17,0.34,3.88
DfH,D. flexuosa,high,7,5,16.9,7.1,12.4,36.4,0.46,0.2,0.34,3.59
DfH,D. flexuosa,high,7,6,16.7,6.9,13.3,36.9,0.45,0.19,0.36,3.61
DfH,D. flexuosa,high,9,1,22.1,8.4,19.4,49.9,0.44,0.17,0.39,3.91
DfH,D. flexuosa,high,9,2,8.1,3.6,5.8,17.5,0.46,0.21,0.33,2.86
DfH,D. flexuosa,high,9,3,37.6,12.9,22.2,72.7,0.52,0.18,0.31,4.29
DfH,D. flexuosa,high,9,4,19.8,8,11,38.8,0.51,0.21,0.28,3.66
DfH,D. flexuosa,high,9,5,29.1,14.7,24.1,67.9,0.43,0.22,0.35,4.22
DfH,D. flexuosa,high,9,6,16.5,4.6,10.6,31.7,0.52,0.15,0.33,3.46
DfH,D. flexuosa,high,11,1,62.5,23.2,48.3,134,0.47,0.17,0.36,4.9
DfH,D. flexuosa,high,11,2,37,17.5,28.2,82.7,0.45,0.21,0.34,4.42
DfH,D. flexuosa,high,11,3,31.2,11.3,23.6,66.1,0.47,0.17,0.36,4.19
DfH,D. flexuosa,high,11,4,33.8,14.4,26.7,74.9,0.45,0.19,0.36,4.32
DfH,D. flexuosa,high,11,5,26.7,11.2,17.8,55.7,0.48,0.2,0.32,4.02
DfH,D. flexuosa,high,11,6,16.5,7.7,11.1,35.3,0.47,0.22,0.31,3.56
